name,category,brand,description
Gloss Absolu High-Shine Anti-Frizz Shampoo,Shampoo,Kérastase,"What it is: A hydrating shampoo that gently clarifies the scalp from stubborn buildup, while cleansing and hydrating for up to four days of anti-frizz, leaving hair shiny, smooth, and glossy.Hair Texture: Straight and WavyHair Type: Fine and MediumHair Concerns:- Frizz- Shine- DrynessKey Benefits: - Gently cleanses the scalp from stubborn buildup- Hydrates and tightens strands to reduce frizz- Leaves hair smooth, soft, and with a high-shine finishHighlighted Ingredients:- Hyaluronic Acid: A powerful acid that retains moisture to keep hair hydrated, smoother, and shinier.- Glycolic Acid: A naturally derived fruit acid that exfoliates the scalp and smooths hair to reduce frizz.- Wild Rose in Oil: Rich in vitamins A, C, and E to restore moisture, strengthen, add shine, and reduce frizz.What Else You Need to Know: New Gloss Absolu, for up to four days of anti-frizz* and bouncy, glossy hair. This range is formulated with hydra-glazing technology that contains hyaluronic acid,* glycolic acid,* and wild rose in oil leaving hair feeling soft, smooth, and with a high-shine finish. The hydra-illuminating shampoo works to cleanse and hydrate, while tightening the hair strands for a high-shine, smooth finish to reduce frizz.*Only in the shampoo, conditioner, and sprayFragrance Description: This luxurious fragrance opens with the sparkling brightness of citrus and lemon, followed by a heart of soft floral bouquet. It settles with a base of warm vanilla and smooth sandalwood, creating a perfect blend of freshness and elegance.Clinical Results: In a consumer test, when used with the system of Gloss Absolu shampoo, conditioner, and oil results showed:- Up to 4 days of anti-frizz*, bouncy, and glossy hairIn an instrumental test of the Gloss Absolu system versus unwashed hair, results showed:- 2X more shine**"
DAMAGE SHIELD pH Protective Shampoo,Shampoo,K18 Biomimetic Hairscience,"What it is: A color-safe, pH-optimized shampoo to effectively cleanse while maintaining hair health, preventing frizz, preserving color, and enhancing shine.Hair Texture: Straight, Wavy, Curly, and CoilyHair Type: Fine, Medium, and ThickHair Concerns:- Color Safe- Damage, Split Ends, and Breakage- FrizzKey Benefits: - This pH-optimized formula helps minimize damage during washing and supports hair health and strength- Prevents tangling + frizz, preserves color, enhances shine- Microbiome-certified to help maintain scalp health and preserve scalp’s natural microbiomeHighlighted Ingredients:- K18PEPTIDE™: Replenishes protein lost during washing to fortify hair.- Plant-Derived Surfactants: Create a gentle, high-foaming cleanse without leaving buildup behind.Ingredient Callouts: It is gluten-free and cruelty-free.What Else You Need to Know: This pH-optimized formula helps reduce excess swelling of the hair cuticle during washing to help prevent damage and tangling, reduce frizz, preserve color, and enhance shine. It is formulated with the K18PEPTIDE™ to replenish hair during washing. This shampoo is also scalp-microbiome friendly and gentle enough for every wash.Fragrance Description: This shampoo has a clean citrus scent.Clinical Results: Results observed in a consumer test of 35 subjects after 21 days of consistent use of the DAMAGE SHIELD pH protective shampoo: - 91% said hair looks healthier- 91% said hair feels smoother- 91% said hair does not feel weighed downCLEAN at Sephora is our commitment to offering formulas that go beyond regulatory standards to avoid controversial ingredients without sacrificing on effectiveness.This product is an Allure Best of Beauty award winner."
DAMAGE SHIELD Protective Conditioner,Conditioner,K18 Biomimetic Hairscience,"What it is: A conditioner that protects against damage from UV rays, environmental aggressors, and mechanical styling, while helping soften, detangle, and enhance shine.Hair Texture: Straight, Wavy, Curly, and CoilyHair Type: Fine, Medium, and ThickHair Concerns:- Damage, Split Ends, and Breakage- Frizz- UV Protection Key Benefits: - Protects hair from daily damage to help maintain hair health- Detangles, softens, smooths frizz, and enhances shine- Biomimetic shield protects without film-forming silicones and waxesHighlighted Ingredients:- Biotech-Produced Polysaccharide: Protects and shields hair from pollution and environmental aggressors.- Fortifying Ceramide Blend: Seals damage sites, smoothing and protecting hair from future damage.- K18PEPTIDE™: Replenishes protein lost during washing to fortify hair.Ingredient Callouts: It is gluten-free and cruelty-free.What Else You Need to Know: This conditioner helps prevent damage and maintain hair health while weightlessly nourishing and conditioning. It is pH-optimized to minimize excess cuticle swelling during washing and help prevent frizz, preserve color, and enhance shine. This formula is also made without film-forming silicones and waxes that can build up over time and weigh hair down.Fragrance Description: This conditioner has a clean citrus scent.Clinical Results: Results observed in a consumer test of 35 subjects after 1 day of usage of the K18 DAMAGE SHIELD protective conditioner:- 94% agreed hair did not feel weighed down- Clinically shown to provide conditioning protection against damage from UV rays, mechanical styling, and environmental aggressors for up to 3 daysCLEAN at Sephora is our commitment to offering formulas that go beyond regulatory standards to avoid controversial ingredients without sacrificing on effectiveness.This product is an Allure Best of Beauty award winner."
Gold Lust Repair & Restore Shampoo,Shampoo,Oribe,"What it is: A rejuvenating shampoo that gently cleanses and repairs damage while restoring moisture for more youthful-, healthy-looking hair.Hair Texture: Straight, Wavy, Curly, and CoilyHair Type: Fine, Medium, and ThickHair Concerns:- Dryness- Shine- Damage, Split Ends, and BreakageKey Benefits: - Rejuvenates hair and restores moisture- Reinforces inner strength of strands- Protects hair from damageHighlighted Ingredients:- Bio-Restorative Complex (Biotin, Plant Collagen, Caffeine, and Niacinamide): Penetrates the hair cuticle to fortify, nourish, and strengthen.- Mediterranean Cypress Extract: Intensely moisturizes for long-lasting repair.- Oribe Signature Complex: Defends hair from environmental elements, oxidative stress, photoaging, and the deterioration of natural keratin.Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, and triclosan. It is also vegan, gluten-free, and cruelty-free.What Else You Need to Know: Reawaken dry, damaged hair to its glossiest, healthiest prime. Formulated with centuries-old healing oils (cypress, argan, and maracuja) and Oribe’s Bio-Restorative Complex, this shampoo supports a balanced scalp and restores moisture to dry, damaged hair while strengthening cuticles from the inside out.All Oribe products are dermatologist tested and formulated with safe, high-quality, innovative ingredients. They are also PETA approved, UV protective, and color- and keratin-treatment safe.Fragrance Description: Created in collaboration with one of the oldest French Fragrance houses, Oribe’s signature scent, Côte d’Azur, features sun-drenched notes of Calabrian bergamot, white butterfly jasmine, and sandalwood—embodying the glamour and heat of the legendary destination. Research Results: Based on a 7-day consumer panel survey of 101 women using Gold Lust Shampoo and Gold Lust Conditioner:- 91% saw an improvement in the appearance of their hair- 82% felt damaged ends were more reinforced and sealed- 74% felt hair is more resilient against future damage"
The Kure Strength Repair Shampoo​,Shampoo,amika,"What it is: A gentle shampoo that is clinically shown to strengthen and reduce breakage caused by everyday stressors, heat, and chemical treatments.Hair Texture: Straight, Wavy, Curly, and CoilyHair Type: Fine, Medium, and ThickHair Concerns:- Dryness- Color Safe- Damage, Split Ends, and BreakageKey Benefits: - Gently cleanses-  Strengthens hair and prevents future breakage - Targets the bonds in your hair that are most prone to breakageHighlighted Ingredients:- Bond-Fortifying Technology: Targets and strengthens hair bonds that are most prone to breakage.- Vegan Proteins: Made up of essential amino acids that can provide keratin-like benefits.- Sea Buckthorn: Rich in fatty-acid omega 7, making it the holy grail for all things hair. Ingredient Callouts: This product is vegan, cruelty-free, and comes in recyclable packaging.What Else You Need to Know: Packed with bond-fortifying technology, plant butters, and vegan proteins, this shampoo gently cleanses while working to strengthen and bring dry, damaged hair back from its breaking point.Clinical Results: In a test, when used together, clinical results show: - Hair has 55% less breakage- Hair is 2X stronger- Safe for color-treated hairClean + Planet Positive at SephoraWhen you see our Clean + Planet Positive seal, this brand's products are formulated without certain ingredients that are potentially harmful to human health and environment. They also address ingredients clients are concerned about, including phthalates, formaldehyde or formaldehyde releasers, oxybenzone and octinoxate, hydroquinone, triclosan, coal tar, methylisothiazolinone and methylchloroisothiazolinone, insoluble plastic microbeads, and more: For the full list, check out the Ingredients tab. On top of meeting the Clean at Sephora formulated without list, these brands are on a mission to do right by your routine and the planet by making climate commitments and focusing on sustainable sourcing, responsible packaging, and environmental giving."
Première Repairing Shampoo for Damaged Hair,Shampoo,Kérastase,"What it is:  A sulfate-free repairing shampoo that gently cleanses, repairs bonds and removes calcium build-up for stronger and healthier hair.Hair Texture: Straight and WavyHair Type: Fine, Medium, and ThickHair Concerns:- Damage, Split Ends, and Breakage- Dryness- ShineKey Benefits: - Removes calcium buildup for stronger hair inside and out- Repairs persistent damage, reversing stiffness and dullness for enhanced shine- Visibly reverses hair damageHighlighted Ingredients:- Citric Acid: This organic acid acts from surface to core to deeply repair bonds and remove calcium build up.- Glycine: This amino acid penetrates hair's inner layer, dramatically reduces breakage, and helps to neutralize dullness, and stiffness.Ingredient Callouts: Free of sulfates SLS & SLES.What Else You Need to Know: Premiere shampoo visibly reverses hair damage* through innovative dual-action technology, which repairs bonds & removes calcium build-up for stronger hair inside and out**. Repairs persistent damage, reversing stiffness and dullness caused by calcium build up from your shower water. Leaves hair 99% stronger* & healthier with 75% more shine*** and 93% less breakage**** *Damage linked to frizz, dullness, roughness. Based on an instrumental and consumer test**System of Concentre, bain & fondant *vs. non conditioning shampoo***vs. unwashed hair**** vs. non conditioning shampooFragrance Description: This luxurious scent is comprised of mandarin and citrus top notes, silky and delicate floral middle notes, and finishes with rich woody bottom notes.Clinical Results: In a study with continuous use of the full system:- 99% of hair’s original strength was restoredIn a study vs. unwashed hair:- 73% more shine- Hair was 2 times smootherIn a study vs. non conditioning shampoo:- 93% stronger"
Moisture Repair Shampoo,Shampoo,Moroccanoil,"What it is: A moisture-balancing shampoo formulated to fortify weakened or damaged hair.Hair Type: Fine, Medium, and ThickHair Texture: Coily, Curly, Straight, and WavyHair Concerns:- Dryness- Damage, Split Ends, and Breakage- Color SafeKey Benefits: - Hydrates- Protects Color- Nourishes Damaged HairHighlighted Ingredients:- Argan Oil: Restores hair’s elasticity, smoothness, and manageability.- Keratin: Fortifies and strengthens damaged, porous hair.- Lavender, Rosemary, Chamomile, and Jojoba Extracts: Nourish dry strands.Ingredient Callouts: Free of parabens and sulfates SLS & SLES. It also comes in recyclable packaging.What Else You Need to Know: Designed for hair damaged by color, chemical processing, or heat styling, this moisturizing shampoo contains antioxidant-rich argan oil and keratin proteins. The gentle formula restores moisture and elasticity for manageable, healthy-looking hair."
The Kure Strength Repair Conditioner​,Conditioner,amika,"What it is: A moisturizing conditioner that is clinically shown to strengthen and reduce breakage caused by everyday stressors, heat, and chemical treatments.Hair Texture: Straight, Wavy, Curly, and CoilyHair Type: Fine, Medium, and ThickHair Concerns:- Dryness- Color Safe- Damage, Split Ends, and BreakageKey Benefits: - Intensely hydrates- Strengthens hair and prevents future breakage- Targets the bonds in your hair that are most prone to breakageHighlighted Ingredients:- Bond-Fortifying Technology: Targets and strengthens hair bonds that are most prone to breakage.- Vegan Proteins: Made up of essential amino acids that can provide keratin-like benefits.- Sea Buckthorn Berry: Rich in fatty-acid omega 7, making it the holy grail for all things hair. Ingredient Callouts: This product is vegan, cruelty-free, and comes in recyclable packaging.What Else You Need to Know: Packed with bond-fortifying technology, plant butters, and vegan proteins, amika’s new and improved conditioner intensely hydrates while working to strengthen and bring dry, damaged hair back from its breaking point.Clinical Results: In a test, when used together, clinical results show: - Hair has 55% less breakage- Hair is 2X stronger- Safe for color-treated hairClean + Planet Positive at SephoraWhen you see our Clean + Planet Positive seal, this brand's products are formulated without certain ingredients that are potentially harmful to human health and environment. They also address ingredients clients are concerned about, including phthalates, formaldehyde or formaldehyde releasers, oxybenzone and octinoxate, hydroquinone, triclosan, coal tar, methylisothiazolinone and methylchloroisothiazolinone, insoluble plastic microbeads, and more: For the full list, check out the Ingredients tab. On top of meeting the Clean at Sephora formulated without list, these brands are on a mission to do right by your routine and the planet by making climate commitments and focusing on sustainable sourcing, responsible packaging, and environmental giving."
Hydrate Shampoo for Medium to Thick Hair,Shampoo,Pureology,"What it is: A creamy shampoo that protects hair color and deeply moisturizes medium to thick, dry hair.Hair Type: Medium and ThickHair Texture: Coily, Curly, Straight, and WavyHair Concerns:- Dryness- Frizz- Color SafeKey Benefits: - Deeply hydrates and softens dry hair- Protects hair color and enhances vibrancy- Highly concentrated formula allows for 75+ shampoos in a single bottleFormulation: LiquidHighlighted Ingredients:- Jojoba: Moisturizes hair.- Green Tea: Promotes a healthy-looking scalp.- Sage: Supports hair follicles.Ingredient Callouts: Free of sulfates SLS and SLES, parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, triclosan, and triclocarban, and contains less than one percent of synthetic fragrances. This product is also vegan, cruelty-free, and comes in recyclable packaging.What Else You Need to Know: This hydrating and frizz-fighting formula includes a signature aromatherapy blend of lavender, bergamot, and patchouli and a patented Antifade Complex® to protect color vibrancy and ensure lasting color payoff. It also includes sunflower seed, a UV filter, and vitamin E to fight color-depleting environmental pollutants while providing deep hydration and lasting shine. Can be used on hair with and without color treatment.Clinical Results: Based on a consumer study of 82 people with self-perceived dry hair using a regimen of Hydrate Shampoo and Hydrate Conditioner (sold separately):- 90% say hair looks healthy- 92% say hair looks shiny - 91% say hair feels smooth - 88% of women said hair feels instantly soft- 84% of women said hair feels intensely nourishedBased on a consumer study of 82 people with self-perceived dry hair: - 91% say product has a creamy lather   This product is an Allure Best of Beauty award winner."
Normcore Sulfate Free Shampoo,Shampoo,amika,"What it is: A sulfate-free hydrating shampoo that gently removes buildup and infuses hair and scalp with omega-7-rich sea buckthorn for soft, silky, bouncy hair.Hair Type: Fine and MediumHair Texture: Straight and WavyHair Concerns: - Dryness - ShineKey Benefits: - Visibly improves scalp condition- Gently cleanses scalp and hair- Fatty acids weightlessly hydrate and revive dullnessHighlighted Ingredients:- Coconut Acid: Removes extra sebum and product buildup from scalp and hair; is also full of fatty acids to give hair a healthier, shiny appearance.- Sea Buckthorn: Rich in fatty-acid omega-7, making it the holy grail for all things hair.Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, and triclosan. It is also vegan and cruelty-free.What Else You Need to Know: A little goes a long way with this concentrated formula. Normcore is infused with a cocktail of vitamins and antioxidants to gently cleanse and hydrate hair, leaving it soft and shiny. Don't forget to emulsify in your hand before massaging into the scalp for optimized foaming results.Clean & Planet AwareOur ambitious curation of beauty made without controversial ingredients from brands dedicated to making meaningful environmental commitments, including sustainable ingredients and sourcing, packaging, corporate commitments, and consumer transparency."
