brand,category,description,name,price_tier
amika,Hair Masks,"What it is: A vitamin- and nutrient-packed hair mask that intensely conditions and softens strands.Hair Texture: Straight, Wavy, Curly, and CoilyHair Type: Fine, Medium, and ThickHair Concerns:- Dryness- Damage, Split Ends, and Breakage- FrizzKey Benefits: - Intensely conditions and hydrates- Targets damage- Improves softness, shine, and elasticityHighlighted Ingredients:- Jojoba Seed Oil: Moisturizes and softens. - Sea Buckthorn: Helps to nourish and restore lipids in hair. Ingredient Callouts: This product is vegan and cruelty-free.What Else You Need to Know: This ultra-rich mask nourishes while intensely conditioning and softening strands. Formulated with jojoba seed oil and amika’s signature sea buckthorn, Soulfood leaves hair over 11 times more moisturized and with up to 91 percent more manageability. Soulfood is lightweight enough to be used daily on porous, dehydrated hair, or as a weekly, intense conditioning formula.Clinical Results: In a clinical test, results after 1 use show:- Leaves hair 11.4X more moisturized- Leaves hair with 91% more manageabilityClean + Planet AwareOur ambitious curation of beauty made without controversial ingredients from brands dedicated to making meaningful environmental commitments, including sustainable ingredients and sourcing, packaging, corporate commitments, and consumer transparency.",amika Soulfood Nourishing Hair Mask in 8 oz / 250 mL Image 2,mid-range
K18 Biomimetic Hairscience,Hair Masks,"What it is: A leave-in treatment mask for all hair types that clinically reverses damage in four minutes. The patented peptide technology works to repair damage from bleach, color, chemical services, and heat, restoring strength, softness, smoothness, and bounce to hair.Hair Type: Fine, Medium, and ThickHair Texture: Straight, Wavy, Curly, and CoilyHair Concerns:- Damage/Split Ends/Breakage- Color Safe- Straightening/SmoothingKey Benefits: - Restores strength, softness, smoothness, and bounce- Repairs damaged hair- Easy leave-in formula delivers lasting resultsHighlighted Ingredients:- K18Peptide™: Repairs damage from bleach, color, chemical services, and heat.Ingredient Callouts: This product is vegan, cruelty-free, and comes in recyclable packaging.What Else You Need to Know: This mask is powered by the patented K18Peptide, which is just the right size and molecular structure to reach the innermost layers of hair and re-connect broken keratin chains responsible for hair's strength and elasticity. Fragrance Description: The light floral scent features notes of jasmine and peony.Clinical Results: In a clinical study on hair that was bleached 8 times, after 2 uses:- Biotech-powered K18Peptide restored damaged hair by up to 82%CLEAN at Sephora is our commitment to offering formulas that go beyond regulatory standards to avoid controversial ingredients without sacrificing on effectiveness.",K18 Biomimetic Hairscience Mini Leave-In Molecular Repair Hair Mask in 0.5 oz/ 15 mL Image 2,premium
amika,Hair Masks,"What it is: An intensive hair mask that’s clinically shown to strengthen, reduce breakage, and deliver major moisture to dry, damaged strands.Hair Texture: Straight, Wavy, Curly, and CoilyHair Type: Fine, Medium, and ThickHair Concerns:- Dryness- Color Safe- Damage, Split Ends, and Breakage Key Benefits: - Strengthens and conditions- Intensely hydrates- Improves manageability Highlighted Ingredients:- Bond-Fortifying Technology: Targets and strengthens hair bonds that are most prone to breakage.- Plant Butters: Including vitamin-rich mango butter extract, borage oil, and shea butter.- Vegan Proteins: Made up of essential amino acids that can provide keratin-like benefits.Ingredient Callouts: This product is vegan, gluten-free, cruelty-free, and comes in recyclable packaging.What Else You Need to Know: The Kure Intense Strength Repair Mask is the ultimate cure for dry, damaged hair. Packed with bond fortifying technology, nutrient-rich plant butters, and vegan proteins, this ultra-thick and creamy mask transforms dry, damaged hair. It's clinically shown to thoroughly hydrate and strengthen strands while improving manageability. It is also clinically proven to be safe for color-treated hair.Clinical Results: In a test, after one use, clinically shown results included:- Hair is 3.2X stronger hair- Hair is 8X more conditioned- Hair has 69% less breakageClean + Planet Positive at SephoraWhen you see our Clean + Planet Positive seal, this brand's products are formulated without certain ingredients that are potentially harmful to human health and environment. They also address ingredients clients are concerned about, including phthalates, formaldehyde or formaldehyde releasers, oxybenzone and octinoxate, hydroquinone, triclosan, coal tar, methylisothiazolinone and methylchloroisothiazolinone, insoluble plastic microbeads, and more: For the full list, check out the Ingredients tab. On top of meeting the Clean at Sephora formulated without list, these brands are on a mission to do right by your routine and the planet by making climate commitments and focusing on sustainable sourcing, responsible packaging, and environmental giving.",amika The Kure Intense Strength Repair Hair Mask​ in 8.4 oz / 250 mL Image 2,mid-range
OUAI,Hair Masks,"What it is: A mask that helps restore hydration, repair damage, and add shine to fine/medium hair with shea butter, panthenol, and hydrolyzed keratin.Hair Type: Fine and MediumHair Texture: Coily, Curly, Straight, and WavyHair Concerns:- Dryness- Frizz- Damage, Split Ends, and BreakageKey Benefits: - Provides hydration for dry, damaged hair- Strengthens with proteins to prevent breakage- Leaves hair healthy with a shiny finishHighlighted Ingredients:- Shea Butter: Hydrates, softens, and conditions dry, over-processed hair.- Panthenol: Restores shine while improving overall strength of hair strands.- Hydrolyzed Keratin and Protein: Prevent breakage while reducing frizz and flyaways.Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, triclosan, and contains less than one percent synthetic fragrance. It is also gluten-free and cruelty-free.What Else You Need to Know: This moisturizing mask is safe for color-treated hair, keratin treatments, and chemically treated hair. Fragrance Description: It's scented with Melrose Place—a rose fragrance with hints of bergamot, lychee, cedarwood, and musk.",OUAI Treatment Mask for Fine and Medium Hair in 8 oz/ 236 mL Image 2,premium
Briogeo,Hair Masks,"What it is: A 15X award-winning intensely conditioning mask that delivers a balance of protein and moisture to help support and strengthen dry, damaged hair.Key Benefits: - Protein-rich and moisturizing ingredients strengthen hair and help prevent future damage- Decadently creamy mask leaves hair soft and silky without weighing it down- Created for dry, damaged, brittle, or over-processed hair of all hair types and texturesHighlighted Ingredients:- Plant Proteins: Replenish missing keratin molecules to strengthen and care for the hair shaft.- Algae Extract: Provides a potent dose of antioxidants to help nourish and protect hair.- Rosehip and Sweet Almond Oils: Provide essential fatty acids that lock in moisture and help prevent frizz.What Else You Need to Know: Briogeo’s rich, intensely conditioning mask is 97 percent naturally derived and scientifically shown to reduce hair breakage in ten minutes and strengthen hair up to 2X after three uses. It is silicone-free, vegan, cruelty-free, and Leaping Bunny certified.Clinical Results: - Reduces hair breakage in 10 minutes- Up to 2X stronger hair after 3 uses","Briogeo Don't Despair, Repair!™ Deep Conditioning Hair Mask in 2 oz/ 59 mL Image 2",mid-range
Kérastase,Hair Masks,"What it is: A repairing hair mask that protects against breakage by strengthening, hydrating and smoothing for stronger and healthier hair. Hair Texture: Straight and WavyHair Type: Fine, Medium, and ThickHair Concerns:- Damage, Split Ends, and Breakage- Dryness- ShineKey Benefits: - Removes calcium buildup for stronger hair inside and out- Hydrates hair and visibly reduces the appearance of split ends- Smooths hair, easily detangles, and enhances shineHighlighted Ingredients:- Peptide: Strengthens hair strands and reduces hair breakage by restoring smoothness.- Glycine: This amino acid penetrates hair's inner layer, dramatically reduces breakage, and helps to neutralize dullness, and stiffness.What Else You Need to Know: Premiere visibly reverses hair damage* through innovative dual-action technology, which repairs bonds & removes calcium build-up for stronger hair inside and out**. Repairs persistent damage, reversing stiffness and dullness caused by calcium build up from your shower water. Leaves hair 99% stronger* & healthier with 75% more shine*** and 93% less breakage**** *Damage linked to frizz, dullness, roughness. Based on an instrumental and consumer test**System of Concentre, bain & fondant *vs. non conditioning shampoo***vs. unwashed hair**** vs. non conditioning shampooFragrance Description: This luxurious scent is comprised of mandarin and citrus top notes, silky and delicate floral middle notes, and finishes with rich woody bottom notes.Clinical Results: In a study vs. non conditioning shampoo- 98% stronger hair- 7 times smoother hairIn a study vs. unwashed hair- 53% shinier hair",Kérastase Première Anti-Breakage Repairing Mask for Damaged Hair in 6.8 oz Image 2,premium
Function of Beauty PRO,,"What it is: A customizable repair haircare set consisting of a shampoo, conditioner mask, and two Hair Goal Concentrates specifically selected to enhance the results for damaged, coily hair. Hair Type: CoilyHair Texture: Fine, Medium, and ThickHair Concerns:- Curl-Enhancing- Damage, Split Ends, and Breakage- FrizzKey Benefits: - Repairs all signs of damage- Defines coils while boosting moisture- Protects against breakage, split endsHighlighted Ingredients:- Adaptive f3 Bonding Complex: Targets and repairs signs of hair damage, reduces breakage.- Aspartic Acid from Poly-Aspartate and Murumuru Butter: Supports the hair fiber by creating a shield-like structure around the fiber.- Chia and Flax Seed Extract, Red and Brown Algae Extract: Define curls and boost moisture.Ingredient Callouts: Free of parabens, phthalates, mineral oil. These products are also gluten-free and cruelty-free.What Else You Need to Know: Nourish your coily hair with this specially crafted set. Infused with fortifying aspartic acid and rich murumuru butter, this reparative set boasts aspartic acid and murumuru butter to support the hair fiber, providing deep nourishment and protection against breakage and split ends. Experience clinically backed results for vibrant, resilient coils.Fragrance Description: A bouquet of fresh spring flowers, with notes of pink peony, wild freesia, and creamy sandalwood. It’s dermatologist tested and suitable for all skin types. The fragrance is microbiome-friendly and gentle on scalp.This Set Contains:- 11 oz/ 325 mL Bond Repair Custom Shampoo for Coily, Damaged Hair- 7 oz/ 207 mL Bond Repair Custom Conditioner Mask for Coily, Damaged Hair- 0.13 oz/ 4 mL Curl and Coils Defining Hair Goal Concentrate Mix-In- 0.13 oz/ 4 mL The Moisture Shot Hydrating Hair Goal Concentrate Mix-In",Function of Beauty PRO Coily Shampoo & Mask Value Set with Curl Definition and Moisture Boosters Image 2,mid-range
amika,Hair Masks,"What it is: A squalane- and hyaluronic acid-infused, intense moisture mask clinically demonstrated to leave hair hydrated for up to five days.Hair Texture: Wavy, Curly, and CoilyHair Type: Medium and ThickHair Concerns:- Dryness- Damage/Split Ends/BreakageKey Benefits: - Intensely hydrates hair for up to five days- Detangles and provides plenty of slip- Silicone-free formula has a whipped, luscious textureHighlighted Ingredients:- Squalane: Prevents moisture loss and restores hair's suppleness.- Hyaluronic Acid: Plumps up dry hair by attracting moisture.- Bio-Fermented Coconut Water: Naturally hydrates.Ingredient Callouts: This product is vegan and cruelty-free.What Else You Need to Know: Ideal for dry, coarse hair, this moisturizing mask is clinically shown to leave hair hydrated for up to five days while leaving it 5X easier to comb and 5X more hydrated after one use. The rich, whipped treatment is luscious to the touch and leaves strands 4.2X stronger with 76 percent less breakage.Clean & Planet AwareOur ambitious curation of beauty made without controversial ingredients from brands dedicated to making meaningful environmental commitments, including sustainable ingredients and sourcing, packaging, corporate commitments, and consumer transparency.",amika Hydro Rush Intense Moisture Hair Mask with Hyaluronic Acid in 8 oz / 250 ml Image 2,mid-range
Moroccanoil,Hair Masks,"What it is: A high-performance, argan-oil-rich mask formulated for medium to thick dry hair that improves hydration, texture, elasticity, shine, and manageability.Hair Type: Medium and ThickHair Texture: Coily, Curly, Straight, and WavyHair Concerns:- Dryness- ShineFormulation: MaskHighlighted Ingredients:- Argan Oil: Restores elasticity, smoothness, and manageability to hair.- Glycerin: Natural humectant that provides hair-moisturizing benefits.- Linseed Extract: Derived from flaxseed, a good source of alpha linolenic acid, an essential fatty acid that helps improve the health of hair.Ingredient Callouts: Free of sulfates SLS and SLES, parabens, formaldehydes, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, triclosan, and triclocarban. This product is also comes in recyclable packaging.What Else You Need to Know: In just five to seven minutes, Moroccanoil Intense Hydrating Mask helps hydrate and condition medium to thick dry hair. Featuring argan oil, linseed extract, and moisture-attracting glycerin, the rich and creamy formula nurtures and helps replenish moisture.",,mid-range
Gisou,Hair Masks,"What it is: A hair therapy mask powered by Mirsalehi honey and ceramides for clinically shown intense hydration, strength, and glossy shine without weighing hair down.Hair Texture: Straight, Wavy, Curly, and CoilyHair Type: Fine, Medium, and ThickHair Concerns:- Damage, Split Ends, and Breakage- Dryness- ShinesKey Benefits: - Deeply hydrates and nourishes without weighing hair down- Strengthens and repairs damage- Quickly delivers a glossy shineHighlighted Ingredients:- Mirsalehi Honey and Bee Garden Oil Blend: Intensely nourishes and quickly delivers a glossy shine.- Biomimetic Ceramides and Panthenol: Repair damage and strengthen.- Low and High Molecular Weight Hyaluronic Acid: Boosts hydration and locks in moisture.Ingredient Callouts: This product is gluten-free.What Else You Need to Know: This mask is powered by strengthening ceramides, shine-boosting Mirsalehi Honey, and hydrating hyaluronic acid for fast hair therapy. With a rich yet weightless texture, it delivers smoother, glossier hair that feels stronger, softer, and intensely hydrated. It is also gently scented with the iconic fragrance of Gisou’s Wildflower Honey.Fragrance Description: Gently scented with the iconic fragrance of Gisou's Wildflower Honey from the brand’s Mirsalehi Bee Garden, with notes of Mirsalehi Honey, spring florals, and mandarin.Clinical Results: In an independent lab study, clinical results included:- 19X Smoother Hair- 4X Stronger Hair- 85% Shinier Hair- 72H Frizz Reduction- 59% More VolumeClean at SephoraOur commitment to offering formulas that go beyond regulatory standards to avoid controversial ingredients without sacrificing effectiveness.",Gisou Mini Honey Gloss Ceramide Therapy Hydrating Hair Mask in 2.5 oz/75 ml Image 2,premium
