brand,category,description,name
Kérastase,Shampoo,"<p><strong>What it is: </strong>A hydrating shampoo that gently clarifies the scalp from stubborn buildup, while cleansing and hydrating for up to four days of anti-frizz, leaving hair shiny, smooth, and glossy.</p><p><br></p><p><strong>Hair Texture:</strong> Straight and Wavy</p><p><br></p><p><strong>Hair Type:</strong> Fine and Medium</p><p><br></p><p><strong>Hair Concerns:<br></strong>- Frizz</p><p>- Shine</p><p>- Dryness</p><p><br></p><p><strong>Key Benefits: <br></strong>- Gently cleanses the scalp from stubborn buildup</p><p>- Hydrates and tightens strands to reduce frizz</p><p>- Leaves hair smooth, soft, and with a high-shine finish</p><p><br></p><p><strong>Highlighted Ingredients:<br></strong>- Hyaluronic Acid: A powerful acid that retains moisture to keep hair hydrated, smoother, and shinier.</p><p>- Glycolic Acid: A naturally derived fruit acid that exfoliates the scalp and smooths hair to reduce frizz.</p><p>- Wild Rose in Oil: Rich in vitamins A, C, and E to restore moisture, strengthen, add shine, and reduce frizz.</p><p><br></p><p><strong>What Else You Need to Know:</strong> New Gloss Absolu, for up to four days of anti-frizz* and bouncy, glossy hair. This range is formulated with hydra-glazing technology that contains hyaluronic acid,* glycolic acid,* and wild rose in oil leaving hair feeling soft, smooth, and with a high-shine finish. The hydra-illuminating shampoo works to cleanse and hydrate, while tightening the hair strands for a high-shine, smooth finish to reduce frizz.</p><p><br></p><p>*Only in the shampoo, conditioner, and spray</p><p><br></p><p><strong>Fragrance Description:</strong> This luxurious fragrance opens with the sparkling brightness of citrus and lemon, followed by a heart of soft floral bouquet. It settles with a base of warm vanilla and smooth sandalwood, creating a perfect blend of freshness and elegance.<strong><br></strong></p><p><strong>Clinical Results:</strong> In a consumer test, when used with the system of Gloss Absolu shampoo, conditioner, and oil results showed:</p><p>- Up to 4 days of anti-frizz*, bouncy, and glossy hair</p><p><br></p><p>In an instrumental test of the Gloss Absolu system versus unwashed hair, results showed:</p><p>- 2X more shine**</p>",Gloss Absolu High-Shine Anti-Frizz Shampoo
K18 Biomimetic Hairscience,Shampoo,"<b>What it is: </b>A color-safe, pH-optimized shampoo to effectively cleanse while maintaining hair health, preventing frizz, preserving color, and enhancing shine.<br><br><b>Hair Texture:</b> Straight, Wavy, Curly, and Coily<br><br><b>Hair Type:</b> Fine, Medium, and Thick<br><br><b>Hair Concerns:<br></b>- Color Safe<br>- Damage, Split Ends, and Breakage<br>- Frizz<br><br><b>Key Benefits: <br></b>- This pH-optimized formula helps minimize damage during washing and supports hair health and strength<br>- Prevents tangling + frizz, preserves color, enhances shine<br>- Microbiome-certified to help maintain scalp health and preserve scalp’s natural microbiome<br><br><b>Highlighted Ingredients:<br></b>- K18PEPTIDE™: Replenishes protein lost during washing to fortify hair.<br>- Plant-Derived Surfactants: Create a gentle, high-foaming cleanse without leaving buildup behind.<br><br><b>Ingredient Callouts:</b> It is gluten-free and cruelty-free.<br><br><b>What Else You Need to Know:</b> This pH-optimized formula helps reduce excess swelling of the hair cuticle during washing to help prevent damage and tangling, reduce frizz, preserve color, and enhance shine. It is formulated with the K18PEPTIDE™ to replenish hair during washing. This shampoo is also scalp-microbiome friendly and gentle enough for every wash.<br><br><b>Fragrance Description: </b>This shampoo has a clean citrus scent.<b><br></b><br><b>Clinical Results:</b> Results observed in a consumer test of 35 subjects after 21 days of consistent use of the DAMAGE SHIELD pH protective shampoo: <br>- 91% said hair looks healthier<br>- 91% said hair feels smoother<br>- 91% said hair does not feel weighed down<br><br>CLEAN at Sephora is our commitment to offering formulas that go beyond regulatory standards to avoid controversial ingredients without sacrificing on effectiveness.<br><br>This product is an <i>Allure </i>Best of Beauty award winner.",DAMAGE SHIELD pH Protective Shampoo
K18 Biomimetic Hairscience,Conditioner,"<b>What it is: </b>A conditioner that protects against damage from UV rays, environmental aggressors, and mechanical styling, while helping soften, detangle, and enhance shine.<br><br><b>Hair Texture:</b> Straight, Wavy, Curly, and Coily<br><br><b>Hair Type:</b> Fine, Medium, and Thick<br><br><b>Hair Concerns:<br></b>- Damage, Split Ends, and Breakage<br>- Frizz<br>- UV Protection <br><br><b>Key Benefits: <br></b>- Protects hair from daily damage to help maintain hair health<br>- Detangles, softens, smooths frizz, and enhances shine<br>- Biomimetic shield protects without film-forming silicones and waxes<br><br><b>Highlighted Ingredients:<br></b>- Biotech-Produced Polysaccharide: Protects and shields hair from pollution and environmental aggressors.<br>- Fortifying Ceramide Blend: Seals damage sites, smoothing and protecting hair from future damage.<br>- K18PEPTIDE™: Replenishes protein lost during washing to fortify hair.<br><br><b>Ingredient Callouts:</b> It is gluten-free and cruelty-free.<br><br><b>What Else You Need to Know:</b> This conditioner helps prevent damage and maintain hair health while weightlessly nourishing and conditioning. It is pH-optimized to minimize excess cuticle swelling during washing and help prevent frizz, preserve color, and enhance shine. This formula is also made without film-forming silicones and waxes that can build up over time and weigh hair down.<br><br><b>Fragrance Description: </b>This conditioner has a clean citrus scent.<b><br></b><br><b>Clinical Results:</b> Results observed in a consumer test of 35 subjects after 1 day of usage of the K18 DAMAGE SHIELD protective conditioner:<br>- 94% agreed hair did not feel weighed down<br>- Clinically shown to provide conditioning protection against damage from UV rays, mechanical styling, and environmental aggressors for up to 3 days<br><br>CLEAN at Sephora is our commitment to offering formulas that go beyond regulatory standards to avoid controversial ingredients without sacrificing on effectiveness.<br><br>This product is an <i>Allure </i>Best of Beauty award winner.",DAMAGE SHIELD Protective Conditioner
Oribe,Shampoo,"<b>What it is: </b>A rejuvenating shampoo that gently cleanses and repairs damage while restoring moisture for more youthful-, healthy-looking hair.<br><br><b>Hair Texture:</b> Straight, Wavy, Curly, and Coily<br><br><b>Hair Type:</b> Fine, Medium, and Thick<br><br><b>Hair Concerns:<br></b>- Dryness<br>- Shine<br>- Damage, Split Ends, and Breakage<br><br><b>Key Benefits: <br></b>- Rejuvenates hair and restores moisture<br>- Reinforces inner strength of strands<br>- Protects hair from damage<br><br><b>Highlighted Ingredients:<br></b>- Bio-Restorative Complex (Biotin, Plant Collagen, Caffeine, and Niacinamide): Penetrates the hair cuticle to fortify, nourish, and strengthen.<br>- Mediterranean Cypress Extract: Intensely moisturizes for long-lasting repair.<br>- Oribe Signature Complex: Defends hair from environmental elements, oxidative stress, photoaging, and the deterioration of natural keratin.<br><br><b>Ingredient Callouts:</b> Free of parabens, formaldehydes, formaldehyde-releasing agents, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, and triclosan. It is also vegan, gluten-free, and cruelty-free.<br><br><b>What Else You Need to Know:</b> Reawaken dry, damaged hair to its glossiest, healthiest prime. Formulated with centuries-old healing oils (cypress, argan, and maracuja) and Oribe’s Bio-Restorative Complex, this shampoo supports a balanced scalp and restores moisture to dry, damaged hair while strengthening cuticles from the inside out.<br><br>All Oribe products are dermatologist tested and formulated with safe, high-quality, innovative ingredients. They are also PETA approved, UV protective, and color- and keratin-treatment safe.<br><br><b>Fragrance Description: </b>Created in collaboration with one of the oldest French Fragrance houses, Oribe’s signature scent, Côte d’Azur, features sun-drenched notes of Calabrian bergamot, white butterfly jasmine, and sandalwood—embodying the glamour and heat of the legendary destination. <br><br><b>Research Results:</b> Based on a 7-day consumer panel survey of 101 women using Gold Lust Shampoo and Gold Lust Conditioner:<br>- 91% saw an improvement in the appearance of their hair<br>- 82% felt damaged ends were more reinforced and sealed<br>- 74% felt hair is more resilient against future damage",Gold Lust Repair & Restore Shampoo
amika,Shampoo,"<b>What it is: </b>A gentle shampoo that is clinically shown to strengthen and reduce breakage caused by everyday stressors, heat, and chemical treatments.<br><br><b>Hair Texture:</b> Straight, Wavy, Curly, and Coily<br><br><b>Hair Type:</b> Fine, Medium, and Thick<br><br><b>Hair Concerns:<br></b>- Dryness<br>- Color Safe<br>- Damage, Split Ends, and Breakage<br><br><b>Key Benefits: <br></b>- Gently cleanses<br>-  Strengthens hair and prevents future breakage <br>- Targets the bonds in your hair that are most prone to breakage<br><br><b>Highlighted Ingredients:<br></b>- Bond-Fortifying Technology: Targets and strengthens hair bonds that are most prone to breakage.<br>- Vegan Proteins: Made up of essential amino acids that can provide keratin-like benefits.<br>- Sea Buckthorn: Rich in fatty-acid omega 7, making it the holy grail for all things hair. <br><br><b>Ingredient Callouts:</b> This product is vegan, cruelty-free, and comes in recyclable packaging.<br><br><b>What Else You Need to Know:</b> Packed with bond-fortifying technology, plant butters, and vegan proteins, this shampoo gently cleanses while working to strengthen and bring dry, damaged hair back from its breaking point.<br><br><b>Clinical Results:</b> In a test, when used together, clinical results show: <br>- Hair has 55% less breakage<br>- Hair is 2X stronger<br>- Safe for color-treated hair<br><br><b>Clean + Planet Positive at Sephora<br></b>When you see our Clean + Planet Positive seal, this brand's products are formulated without certain ingredients that are potentially harmful to human health and environment. They also address ingredients clients are concerned about, including phthalates, formaldehyde or formaldehyde releasers, oxybenzone and octinoxate, hydroquinone, triclosan, coal tar, methylisothiazolinone and methylchloroisothiazolinone, insoluble plastic microbeads, and more: For the full list, check out the Ingredients tab. <br>On top of meeting the Clean at Sephora formulated without list, these brands are on a mission to do right by your routine and the planet by making climate commitments and focusing on sustainable sourcing, responsible packaging, and environmental giving.",The Kure Strength Repair Shampoo​
Kérastase,Shampoo,"<p><strong>What it is: </strong><span style=""color: rgb(0, 0, 0); font-size: 13.3333px; font-style: normal; font-weight: 400; text-align: start; text-indent: 0px; background-color: rgb(255, 255, 255);""> </span>A sulfate-free repairing shampoo that gently cleanses, repairs bonds and removes calcium build-up for stronger and healthier hair.</p><p><br></p><p><strong>Hair Texture:</strong> Straight and Wavy</p><p><br></p><p><strong>Hair Type:</strong> Fine, Medium, and Thick</p><p><br></p><p><strong>Hair Concerns:</strong></p><p>- Damage, Split Ends, and Breakage</p><p>- Dryness</p><p>- Shine</p><p><br></p><p><strong>Key Benefits: </strong></p><p>- Removes calcium buildup for stronger hair inside and out</p><p>- Repairs persistent damage, reversing stiffness and dullness for enhanced shine</p><p>- Visibly reverses hair damage</p><p><br></p><p><strong>Highlighted Ingredients:</strong></p><p>- Citric Acid: This organic acid acts from surface to core to deeply repair bonds and remove calcium build up.</p><p>- Glycine: This amino acid penetrates hair's inner layer, dramatically reduces breakage, and helps to neutralize dullness, and stiffness.</p><p><br></p><p><strong>Ingredient Callouts:</strong> Free of sulfates SLS & SLES.</p><p><br></p><p><strong>What Else You Need to Know: </strong>Premiere shampoo visibly reverses hair damage* through innovative dual-action technology, which repairs bonds & removes calcium build-up for stronger hair inside and out**. Repairs persistent damage, reversing stiffness and dullness caused by calcium build up from your shower water. Leaves hair 99% stronger* & healthier with 75% more shine*** and 93% less breakage**** </p><p><br></p><p>*Damage linked to frizz, dullness, roughness. Based on an instrumental and consumer test</p><p>**System of Concentre, bain & fondant *vs. non conditioning shampoo</p><p>***vs. unwashed hair</p><p>**** vs. non conditioning shampoo</p><p><br></p><p><strong>Fragrance Description:</strong> This luxurious scent is comprised of mandarin and citrus top notes, silky and delicate floral middle notes, and finishes with rich woody bottom notes.</p><p><br></p><p><strong>Clinical Results:</strong> In a study with continuous use of the full system:</p><p>- 99% of hair’s original strength was restored</p><p>In a study vs. unwashed hair:</p><p>- 73% more shine</p><p>- Hair was 2 times smoother</p><p><br></p><p>In a study vs. non conditioning shampoo:</p><p>- 93% stronger</p>",Première Repairing Shampoo for Damaged Hair
Moroccanoil,Shampoo,"<b>What it is: </b>A moisture-balancing shampoo formulated to fortify weakened or damaged hair.<br><br><b>Hair Type:</b> Fine, Medium, and Thick<br><br><b>Hair Texture:</b> Coily, Curly, Straight, and Wavy<br><br><b>Hair Concerns:<br></b>- Dryness<br>- Damage, Split Ends, and Breakage<br>- Color Safe<br><br><b>Key Benefits: <br></b>- Hydrates<br>- Protects Color<br>- Nourishes Damaged Hair<br><br><b>Highlighted Ingredients:<br></b>- Argan Oil: Restores hair’s elasticity, smoothness, and manageability.<br>- Keratin: Fortifies and strengthens damaged, porous hair.<br>- Lavender, Rosemary, Chamomile, and Jojoba Extracts: Nourish dry strands.<br><br><b>Ingredient Callouts:</b> Free of parabens and sulfates SLS & SLES. It also comes in recyclable packaging.<br><br><b>What Else You Need to Know:</b> Designed for hair damaged by color, chemical processing, or heat styling, this moisturizing shampoo contains antioxidant-rich argan oil and keratin proteins. The gentle formula restores moisture and elasticity for manageable, healthy-looking hair.",Moisture Repair Shampoo
amika,Conditioner,"<b>What it is: </b>A moisturizing conditioner that is clinically shown to strengthen and reduce breakage caused by everyday stressors, heat, and chemical treatments.<br><br><b>Hair Texture:</b> Straight, Wavy, Curly, and Coily<br><br><b>Hair Type:</b> Fine, Medium, and Thick<br><br><b>Hair Concerns:<br></b>- Dryness<br>- Color Safe<br>- Damage, Split Ends, and Breakage<br><br><b>Key Benefits: <br></b>- Intensely hydrates<br>- Strengthens hair and prevents future breakage<br>- Targets the bonds in your hair that are most prone to breakage<br><br><b>Highlighted Ingredients:<br></b>- Bond-Fortifying Technology: Targets and strengthens hair bonds that are most prone to breakage.<br>- Vegan Proteins: Made up of essential amino acids that can provide keratin-like benefits.<br>- Sea Buckthorn Berry: Rich in fatty-acid omega 7, making it the holy grail for all things hair. <br><br><b>Ingredient Callouts:</b> This product is vegan, cruelty-free, and comes in recyclable packaging.<br><br><b>What Else You Need to Know:</b> Packed with bond-fortifying technology, plant butters, and vegan proteins, amika’s new and improved conditioner intensely hydrates while working to strengthen and bring dry, damaged hair back from its breaking point.<br><br><b>Clinical Results:</b> In a test, when used together, clinical results show: <br>- Hair has 55% less breakage<br>- Hair is 2X stronger<br>- Safe for color-treated hair<br><br><b>Clean + Planet Positive at Sephora<br></b>When you see our Clean + Planet Positive seal, this brand's products are formulated without certain ingredients that are potentially harmful to human health and environment. They also address ingredients clients are concerned about, including phthalates, formaldehyde or formaldehyde releasers, oxybenzone and octinoxate, hydroquinone, triclosan, coal tar, methylisothiazolinone and methylchloroisothiazolinone, insoluble plastic microbeads, and more: For the full list, check out the Ingredients tab. <br>On top of meeting the Clean at Sephora formulated without list, these brands are on a mission to do right by your routine and the planet by making climate commitments and focusing on sustainable sourcing, responsible packaging, and environmental giving.",The Kure Strength Repair Conditioner​
Pureology,Shampoo,"<p><strong>What it is: </strong>A creamy shampoo that protects hair color and deeply moisturizes medium to thick, dry hair.</p><p><br></p><p><strong>Hair Type:</strong> Medium and Thick</p><p><br></p><p><strong>Hair Texture:</strong> Coily, Curly, Straight, and Wavy</p><p><br></p><p><strong>Hair Concerns:<br></strong>- Dryness</p><p>- Frizz</p><p>- Color Safe</p><p><br></p><p><strong>Key Benefits: <br></strong>- Deeply hydrates and softens dry hair</p><p>- Protects hair color and enhances vibrancy</p><p>- Highly concentrated formula allows for 75+ shampoos in a single bottle</p><p><br></p><p><strong>Formulation:</strong> Liquid</p><p><br></p><p><strong>Highlighted Ingredients:<br></strong>- Jojoba: Moisturizes hair.</p><p>- Green Tea: Promotes a healthy-looking scalp.</p><p>- Sage: Supports hair follicles.</p><p><br></p><p><strong>Ingredient Callouts:</strong> Free of sulfates SLS and SLES, parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, triclosan, and triclocarban, and contains less than one percent of synthetic fragrances. This product is also vegan, cruelty-free, and comes in recyclable packaging.</p><p><br></p><p><strong>What Else You Need to Know:</strong> This hydrating and frizz-fighting formula includes a signature aromatherapy blend of lavender, bergamot, and patchouli and a patented Antifade Complex® to protect color vibrancy and ensure lasting color payoff. It also includes sunflower seed, a UV filter, and vitamin E to fight color-depleting environmental pollutants while providing deep hydration and lasting shine. Can be used on hair with and without color treatment.</p><p><br></p><p><strong>Clinical Results:</strong> </p><p >Based on a consumer study of 82 people with self-perceived dry hair using a regimen of Hydrate Shampoo and Hydrate Conditioner (sold separately):</p><p>- 90% say hair looks healthy</p><p>- 92% say hair looks shiny </p><p>- 91% say hair feels smooth </p><p>- 88% of women said hair feels instantly soft</p><p>- 84% of women said hair feels intensely nourished</p><p><br></p><p>Based on a consumer study of 82 people with self-perceived dry hair: </p><p>- 91% say product has a creamy lather   </p><br><br>This product is an <i>Allure </i>Best of Beauty award winner.",Hydrate Shampoo for Medium to Thick Hair
amika,Shampoo,"<b>What it is: </b>A sulfate-free hydrating shampoo that gently removes buildup and infuses hair and scalp with omega-7-rich sea buckthorn for soft, silky, bouncy hair.<br><br><b>Hair Type:</b> Fine and Medium<br><br><b>Hair Texture:</b> Straight and Wavy<br><br><b>Hair Concerns: </b><br>- Dryness <br>- Shine<br><br><b>Key Benefits: <br></b>- Visibly improves scalp condition<br>- Gently cleanses scalp and hair<br>- Fatty acids weightlessly hydrate and revive dullness<br><br><b>Highlighted Ingredients:<br></b>- Coconut Acid: Removes extra sebum and product buildup from scalp and hair; is also full of fatty acids to give hair a healthier, shiny appearance.<br>- Sea Buckthorn: Rich in fatty-acid omega-7, making it the holy grail for all things hair.<br><br><b>Ingredient Callouts:</b> Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, and triclosan. It is also vegan and cruelty-free.<br><br><b>What Else You Need to Know:</b> A little goes a long way with this concentrated formula. Normcore is infused with a cocktail of vitamins and antioxidants to gently cleanse and hydrate hair, leaving it soft and shiny. Don't forget to emulsify in your hand before massaging into the scalp for optimized foaming results.<b><br></b><br><p><strong>Clean & Planet Aware</strong><br>Our ambitious curation of beauty made without controversial ingredients from brands dedicated to making meaningful environmental commitments, including sustainable ingredients and sourcing, packaging, corporate commitments, and consumer transparency.</p>",Normcore Sulfate Free Shampoo
