brand,category,description,name
amika,Hair Masks,"<b>What it is: </b>A vitamin- and nutrient-packed hair mask that intensely conditions and softens strands.<br><br><b>Hair Texture:</b> Straight, Wavy, Curly, and Coily<br><br><b>Hair Type:</b> Fine, Medium, and Thick<br><br><b>Hair Concerns:<br></b>- Dryness<br>- Damage, Split Ends, and Breakage<br>- Frizz<br><br><b>Key Benefits: <br></b>- Intensely conditions and hydrates<br>- Targets damage<br>- Improves softness, shine, and elasticity<br><br><b>Highlighted Ingredients:<br></b>- Jojoba Seed Oil: Moisturizes and softens. <br>- Sea Buckthorn: Helps to nourish and restore lipids in hair. <br><br><b>Ingredient Callouts:</b> This product is vegan and cruelty-free.<br><br><b>What Else You Need to Know:</b> This ultra-rich mask nourishes while intensely conditioning and softening strands. Formulated with jojoba seed oil and amika’s signature sea buckthorn, Soulfood leaves hair over 11 times more moisturized and with up to 91 percent more manageability. Soulfood is lightweight enough to be used daily on porous, dehydrated hair, or as a weekly, intense conditioning formula.<br><br><b>Clinical Results:</b> In a clinical test, results after 1 use show:<br>- Leaves hair 11.4X more moisturized<br>- Leaves hair with 91% more manageability<br><br><b>Clean + Planet Aware<br></b>Our ambitious curation of beauty made without controversial ingredients from brands dedicated to making meaningful environmental commitments, including sustainable ingredients and sourcing, packaging, corporate commitments, and consumer transparency.<b><br></b>",amika Soulfood Nourishing Hair Mask in 8 oz / 250 mL Image 2
K18 Biomimetic Hairscience,Hair Masks,"<b>What it is: </b>A leave-in treatment mask for all hair types that clinically reverses damage in four minutes. The patented peptide technology works to repair damage from bleach, color, chemical services, and heat, restoring strength, softness, smoothness, and bounce to hair.<br><br><b>Hair Type:</b> Fine, Medium, and Thick<br><br><b>Hair Texture:</b> Straight, Wavy, Curly, and Coily<br><br><b>Hair Concerns:<br></b>- Damage/Split Ends/Breakage<br>- Color Safe<br>- Straightening/Smoothing<br><br><b>Key Benefits: <br></b>- Restores strength, softness, smoothness, and bounce<br>- Repairs damaged hair<br>- Easy leave-in formula delivers lasting results<br><br><b>Highlighted Ingredients:<br></b>- K18Peptide™: Repairs damage from bleach, color, chemical services, and heat.<br><br><b>Ingredient Callouts:</b> This product is vegan, cruelty-free, and comes in recyclable packaging.<br><br><b>What Else You Need to Know:</b> This mask is powered by the patented K18Peptide, which is just the right size and molecular structure to reach the innermost layers of hair and re-connect broken keratin chains responsible for hair's strength and elasticity. <br><br><b>Fragrance Description: </b>The light floral scent features notes of jasmine and peony.<b><br></b><br><b>Clinical Results:</b> In a clinical study on hair that was bleached 8 times, after 2 uses:<br>- Biotech-powered K18Peptide restored damaged hair by up to 82%<br><br><br><br>CLEAN at Sephora is our commitment to offering formulas that go beyond regulatory standards to avoid controversial ingredients without sacrificing on effectiveness.",K18 Biomimetic Hairscience Mini Leave-In Molecular Repair Hair Mask in 0.5 oz/ 15 mL Image 2
amika,Hair Masks,"<b>What it is: </b>An intensive hair mask that’s clinically shown to strengthen, reduce breakage, and deliver major moisture to dry, damaged strands.<br><br><b>Hair Texture:</b> Straight, Wavy, Curly, and Coily<br><br><b>Hair Type:</b> Fine, Medium, and Thick<br><br><b>Hair Concerns:<br></b>- Dryness<br>- Color Safe<br>- Damage, Split Ends, and Breakage <br><br><b>Key Benefits: <br></b>- Strengthens and conditions<br>- Intensely hydrates<br>- Improves manageability <br><br><b>Highlighted Ingredients:<br></b>- Bond-Fortifying Technology: Targets and strengthens hair bonds that are most prone to breakage.<br>- Plant Butters: Including vitamin-rich mango butter extract, borage oil, and shea butter.<br>- Vegan Proteins: Made up of essential amino acids that can provide keratin-like benefits.<br><br><b>Ingredient Callouts:</b> This product is vegan, gluten-free, cruelty-free, and comes in recyclable packaging.<br><br><b>What Else You Need to Know:</b> The Kure Intense Strength Repair Mask is the ultimate cure for dry, damaged hair. Packed with bond fortifying technology, nutrient-rich plant butters, and vegan proteins, this ultra-thick and creamy mask transforms dry, damaged hair. It's clinically shown to thoroughly hydrate and strengthen strands while improving manageability. It is also clinically proven to be safe for color-treated hair.<br><br><b>Clinical Results:</b> In a test, after one use, clinically shown results included:<br>- Hair is 3.2X stronger hair<br>- Hair is 8X more conditioned<br>- Hair has 69% less breakage<br><br><b>Clean + Planet Positive at Sephora<br></b>When you see our Clean + Planet Positive seal, this brand's products are formulated without certain ingredients that are potentially harmful to human health and environment. They also address ingredients clients are concerned about, including phthalates, formaldehyde or formaldehyde releasers, oxybenzone and octinoxate, hydroquinone, triclosan, coal tar, methylisothiazolinone and methylchloroisothiazolinone, insoluble plastic microbeads, and more: For the full list, check out the Ingredients tab. <br>On top of meeting the Clean at Sephora formulated without list, these brands are on a mission to do right by your routine and the planet by making climate commitments and focusing on sustainable sourcing, responsible packaging, and environmental giving.",amika The Kure Intense Strength Repair Hair Mask​ in 8.4 oz / 250 mL Image 2
OUAI,Hair Masks,"<p><strong>What it is: </strong>A mask that helps restore hydration, repair damage, and add shine to fine/medium hair with shea butter, panthenol, and hydrolyzed keratin.</p><p><br></p><p><strong>Hair Type:</strong> Fine and Medium</p><p><br></p><p><strong>Hair Texture:</strong> Coily, Curly, Straight, and Wavy</p><p><br></p><p><strong>Hair Concerns:<br></strong>- Dryness</p><p>- Frizz</p><p>- Damage, Split Ends, and Breakage</p><p><br></p><p><strong>Key Benefits: <br></strong>- Provides hydration for dry, damaged hair</p><p>- Strengthens with proteins to prevent breakage</p><p>- Leaves hair healthy with a shiny finish</p><p><br></p><p><strong>Highlighted Ingredients:<br></strong>- Shea Butter: Hydrates, softens, and conditions dry, over-processed hair.</p><p>- Panthenol: Restores shine while improving overall strength of hair strands.</p><p>- Hydrolyzed Keratin and Protein: Prevent breakage while reducing frizz and flyaways.</p><p><br></p><p><strong>Ingredient Callouts:</strong> Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, triclosan, and contains less than one percent synthetic fragrance. It is also gluten-free and cruelty-free.</p><p><br></p><p><strong>What Else You Need to Know:</strong> This moisturizing mask is safe for color-treated hair, keratin treatments, and chemically treated hair. <br ><!--[if !supportLineBreakNewLine]--></p><p><br></p><p><strong>Fragrance Description: </strong>It's scented with Melrose Place—a rose fragrance with hints of bergamot, lychee, cedarwood, and musk.</p>",OUAI Treatment Mask for Fine and Medium Hair in 8 oz/ 236 mL Image 2
Briogeo,Hair Masks,"<b>What it is: </b>A 15X award-winning intensely conditioning mask that delivers a balance of protein and moisture to help support and strengthen dry, damaged hair.<br><br><b>Key Benefits: <br></b>- Protein-rich and moisturizing ingredients strengthen hair and help prevent future damage<br>- Decadently creamy mask leaves hair soft and silky without weighing it down<br>- Created for dry, damaged, brittle, or over-processed hair of all hair types and textures<br><br><b>Highlighted Ingredients:<br></b>- Plant Proteins: Replenish missing keratin molecules to strengthen and care for the hair shaft.<br>- Algae Extract: Provides a potent dose of antioxidants to help nourish and protect hair.<br>- Rosehip and Sweet Almond Oils: Provide essential fatty acids that lock in moisture and help prevent frizz.<br><br><b>What Else You Need to Know:</b> Briogeo’s rich, intensely conditioning mask is 97 percent naturally derived and scientifically shown to reduce hair breakage in ten minutes and strengthen hair up to 2X after three uses. It is silicone-free, vegan, cruelty-free, and Leaping Bunny certified.<br><br><b>Clinical Results:</b> <br>- Reduces hair breakage in 10 minutes<br>- Up to 2X stronger hair after 3 uses","Briogeo Don't Despair, Repair!™ Deep Conditioning Hair Mask in 2 oz/ 59 mL Image 2"
Kérastase,Hair Masks,"<p><strong>What it is: </strong>A repairing hair mask that protects against breakage by strengthening, hydrating and smoothing for stronger and healthier hair. </p><p><br></p><p><strong>Hair Texture:</strong> Straight and Wavy</p><p><br></p><p><strong>Hair Type:</strong> Fine, Medium, and Thick</p><p><br></p><p><strong>Hair Concerns:<br></strong>- Damage, Split Ends, and Breakage</p><p>- Dryness</p><p>- Shine</p><p><br></p><p><strong>Key Benefits: <br></strong>- Removes calcium buildup for stronger hair inside and out</p><p>- Hydrates hair and visibly reduces the appearance of split ends</p><p>- Smooths hair, easily detangles, and enhances shine</p><p><br></p><p><strong>Highlighted Ingredients:<br></strong>- Peptide: Strengthens hair strands and reduces hair breakage by restoring smoothness.</p><p>- Glycine: This amino acid penetrates hair's inner layer, dramatically reduces breakage, and helps to neutralize dullness, and stiffness.</p><p><br></p><p><strong>What Else You Need to Know:</strong> Premiere visibly reverses hair damage* through innovative dual-action technology, which repairs bonds & removes calcium build-up for stronger hair inside and out**. Repairs persistent damage, reversing stiffness and dullness caused by calcium build up from your shower water. Leaves hair 99% stronger* & healthier with 75% more shine*** and 93% less breakage**** </p><p><br></p><p>*Damage linked to frizz, dullness, roughness. Based on an instrumental and consumer test</p><p>**System of Concentre, bain & fondant *vs. non conditioning shampoo</p><p>***vs. unwashed hair</p><p>**** vs. non conditioning shampoo</p><p><br></p><p><strong>Fragrance Description:</strong> This luxurious scent is comprised of mandarin and citrus top notes, silky and delicate floral middle notes, and finishes with rich woody bottom notes.<strong><br></strong></p><p><strong>Clinical Results:</strong> In a study vs. non conditioning shampoo</p><p>- 98% stronger hair</p><p>- 7 times smoother hair</p><p><br></p><p>In a study vs. unwashed hair</p><p>- 53% shinier hair</p>",Kérastase Première Anti-Breakage Repairing Mask for Damaged Hair in 6.8 oz Image 2
Function of Beauty PRO,,"<b>What it is: </b>A customizable repair haircare set consisting of a shampoo, conditioner mask, and two Hair Goal Concentrates specifically selected to enhance the results for damaged, coily hair. <br><br><b>Hair Type:</b> Coily<br><br><b>Hair Texture:</b> Fine, Medium, and Thick<br><br><b>Hair Concerns:<br></b>- Curl-Enhancing<br>- Damage, Split Ends, and Breakage<br>- Frizz<br><br><b>Key Benefits: <br></b>- Repairs all signs of damage<br>- Defines coils while boosting moisture<br>- Protects against breakage, split ends<br><br><b>Highlighted Ingredients:<br></b>- Adaptive f3 Bonding Complex: Targets and repairs signs of hair damage, reduces breakage.<br>- Aspartic Acid from Poly-Aspartate and Murumuru Butter: Supports the hair fiber by creating a shield-like structure around the fiber.<br>- Chia and Flax Seed Extract, Red and Brown Algae Extract: Define curls and boost moisture.<br><br><b>Ingredient Callouts:</b> Free of parabens, phthalates, mineral oil. These products are also gluten-free and cruelty-free.<br><br><b>What Else You Need to Know:</b> Nourish your coily hair with this specially crafted set. Infused with fortifying aspartic acid and rich murumuru butter, this reparative set boasts aspartic acid and murumuru butter to support the hair fiber, providing deep nourishment and protection against breakage and split ends. Experience clinically backed results for vibrant, resilient coils.<br><br><b>Fragrance Description:</b> A bouquet of fresh spring flowers, with notes of pink peony, wild freesia, and creamy sandalwood. It’s dermatologist tested and suitable for all skin types. The fragrance is microbiome-friendly and gentle on scalp.<b><br></b><br><b>This Set Contains:<br></b>- 11 oz/ 325 mL Bond Repair Custom Shampoo for Coily, Damaged Hair<br>- 7 oz/ 207 mL Bond Repair Custom Conditioner Mask for Coily, Damaged Hair<br>- 0.13 oz/ 4 mL Curl and Coils Defining Hair Goal Concentrate Mix-In<br>- 0.13 oz/ 4 mL The Moisture Shot Hydrating Hair Goal Concentrate Mix-In",Function of Beauty PRO Coily Shampoo & Mask Value Set with Curl Definition and Moisture Boosters Image 2
amika,Hair Masks,"<b>What it is: </b>A squalane- and hyaluronic acid-infused, intense moisture mask clinically demonstrated to leave hair hydrated for up to five days.<br><br><b>Hair Texture:</b> Wavy, Curly, and Coily<br><br><b>Hair Type:</b> Medium and Thick<br><br><b>Hair Concerns:<br></b>- Dryness<br>- Damage/Split Ends/Breakage<br><br><b>Key Benefits: <br></b>- Intensely hydrates hair for up to five days<br>- Detangles and provides plenty of slip<br>- Silicone-free formula has a whipped, luscious texture<br><br><b>Highlighted Ingredients:<br></b>- Squalane: Prevents moisture loss and restores hair's suppleness.<br>- Hyaluronic Acid: Plumps up dry hair by attracting moisture.<br>- Bio-Fermented Coconut Water: Naturally hydrates.<br><br><b>Ingredient Callouts:</b> This product is vegan and cruelty-free.<br><br><b>What Else You Need to Know:</b> Ideal for dry, coarse hair, this moisturizing mask is clinically shown to leave hair hydrated for up to five days while leaving it 5X easier to comb and 5X more hydrated after one use. The rich, whipped treatment is luscious to the touch and leaves strands 4.2X stronger with 76 percent less breakage.<b><br></b><br><p><strong>Clean & Planet Aware</strong><br>Our ambitious curation of beauty made without controversial ingredients from brands dedicated to making meaningful environmental commitments, including sustainable ingredients and sourcing, packaging, corporate commitments, and consumer transparency.</p>",amika Hydro Rush Intense Moisture Hair Mask with Hyaluronic Acid in 8 oz / 250 ml Image 2
Moroccanoil,Hair Masks,"<b>What it is: </b>A high-performance, argan-oil-rich mask formulated for medium to thick dry hair that improves hydration, texture, elasticity, shine, and manageability.<br><br><b>Hair Type: </b>Medium and Thick<br><br><b>Hair Texture: Coily, Curly, Straight, and Wavy<br><b>Hair Concerns:</b><br>- Dryness<br>- Shine<br><br><b>Formulation: </b>Mask<br><br><b>Highlighted Ingredients:</b><br>- Argan Oil: Restores elasticity, smoothness, and manageability to hair.<br>- Glycerin: Natural humectant that provides hair-moisturizing benefits.<br>- Linseed Extract: Derived from flaxseed, a good source of alpha linolenic acid, an essential fatty acid that helps improve the health of hair.<br><br><b>Ingredient Callouts:</b> Free of sulfates SLS and SLES, parabens, formaldehydes, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, triclosan, and triclocarban. This product is also comes in recyclable packaging.<br><br><b>What Else You Need to Know: </b>In just five to seven minutes, Moroccanoil Intense Hydrating Mask helps hydrate and condition medium to thick dry hair. Featuring argan oil, linseed extract, and moisture-attracting glycerin, the rich and creamy formula nurtures and helps replenish moisture.",
Gisou,Hair Masks,"<p><strong>What it is: </strong>A hair therapy mask powered by Mirsalehi honey and ceramides for clinically shown intense hydration, strength, and glossy shine without weighing hair down.</p><p><br></p><p><strong>Hair Texture:</strong> Straight, Wavy, Curly, and Coily</p><p><br></p><p><strong>Hair Type:</strong> Fine, Medium, and Thick</p><p><br></p><p><strong>Hair Concerns:<br></strong>- Damage, Split Ends, and Breakage</p><p>- Dryness</p><p>- Shines</p><p><br></p><p><strong>Key Benefits: <br></strong>- Deeply hydrates and nourishes without weighing hair down</p><p>- Strengthens and repairs damage</p><p>- Quickly delivers a glossy shine</p><p><br></p><p><strong>Highlighted Ingredients:<br></strong>- Mirsalehi Honey and Bee Garden Oil Blend: Intensely nourishes and quickly delivers a glossy shine.</p><p>- Biomimetic Ceramides and Panthenol: Repair damage and strengthen.</p><p>- Low and High Molecular Weight Hyaluronic Acid: Boosts hydration and locks in moisture.</p><p><br></p><p><strong>Ingredient Callouts:</strong> This product is gluten-free.</p><p><br></p><p><strong>What Else You Need to Know:</strong> This mask is powered by strengthening ceramides, shine-boosting Mirsalehi Honey, and hydrating hyaluronic acid for fast hair therapy. With a rich yet weightless texture, it delivers smoother, glossier hair that feels stronger, softer, and intensely hydrated. It is also gently scented with the iconic fragrance of Gisou’s Wildflower Honey.</p><p><br></p><p><strong>Fragrance Description: </strong>Gently scented with the iconic fragrance of Gisou's Wildflower Honey from the brand’s Mirsalehi Bee Garden, with notes of Mirsalehi Honey, spring florals, and mandarin.<strong><br></strong></p><p><strong>Clinical Results:</strong> In an independent lab study, clinical results included:</p><p>- 19X Smoother Hair</p><p>- 4X Stronger Hair</p><p>- 85% Shinier Hair</p><p>- 72H Frizz Reduction</p><p>- 59% More Volume</p><p><strong>Clean at Sephora<br></strong>Our commitment to offering formulas that go beyond regulatory standards to avoid controversial ingredients without sacrificing effectiveness.</p>",Gisou Mini Honey Gloss Ceramide Therapy Hydrating Hair Mask in 2.5 oz/75 ml Image 2
